h min seg;ACC ACCX ACCY ACCZ m/s^2;GGY GGYX GGYY GGYZ rad/s;DIS D6 D7 [mm];Colision D6(Bool) D7(Bool);Temperatura Ambiental CPU_MR [ºC]
0 5 54;0 0 -10;0 0 0;255 59;0 1;23 60.61
0 5 56;0 0 -10;0 0 0;255 62;0 1;23 60.43
0 5 56;0 0 -10;0 0 0;255 62;0 1;23 60.56
0 5 56;0 0 -10;0 0 0;255 62;0 1;23 60.61
0 5 56;0 0 -10;0 0 0;255 62;0 1;23 60.43
0 5 58;0 0 -10;0 0 0;255 255;0 0;23 60.57
0 5 58;0 0 -10;0 0 0;255 255;0 0;23 60.52
0 5 58;0 0 -10;0 0 0;255 255;0 0;23 60.58
0 5 58;0 0 -10;0 0 0;255 255;0 0;23 60.66
0 6 0;0 0 -10;0 0 0;255 255;0 0;23 60.75
0 6 0;0 0 -10;0 0 0;255 255;0 0;23 60.43
0 6 0;0 0 -10;0 0 0;255 255;0 0;23 60.85
0 6 0;0 0 -10;0 0 0;255 255;0 0;23 60.7
0 6 2;0 0 -10;0 0 0;255 255;0 0;23 60.45
0 6 2;0 0 -10;0 0 0;255 255;0 0;23 60.76
0 6 2;0 0 -10;0 0 0;255 255;0 0;23 60.95
0 6 2;0 0 -10;0 0 0;255 255;0 0;23 60.46
0 6 2;0 0 -10;0 0 0;255 255;0 0;23 60.75
0 6 4;0 0 -10;0 0 0;255 255;0 0;23 60.77
0 6 4;0 0 -10;0 0 0;255 255;0 0;23 60.72
0 6 4;0 0 -10;0 0 0;255 255;0 0;23 60.56
0 6 6;0 0 -10;0 0 0;255 133;0 1;23 60.66
0 6 6;0 0 -10;0 0 0;255 133;0 1;23 60.75
0 6 6;0 0 -10;0 0 0;255 133;0 1;23 60.67
0 6 6;0 0 -10;0 0 0;255 133;0 1;23 60.75
0 6 8;0 0 -10;0 0 0;255 255;0 0;23 60.75
0 6 8;0 0 -10;0 0 0;255 255;0 0;23 60.71
0 6 8;0 0 -10;0 0 0;255 255;0 0;23 60.57
0 6 8;0 0 -10;0 0 0;255 255;0 0;23 60.51
0 6 10;0 0 -10;0 0 0;255 255;0 0;23 60.71
0 6 10;0 0 -10;0 0 0;255 255;0 0;23 60.47
0 6 10;0 0 -10;0 0 0;255 255;0 0;23 60.66
0 6 10;0 0 -10;0 0 0;255 255;0 0;23 60.8
0 6 10;0 0 -10;0 0 0;255 255;0 0;23 60.56
0 6 12;0 0 -10;0 0 0;255 255;0 0;23 60.91
0 6 12;0 0 -10;0 0 0;255 255;0 0;23 60.72
0 6 12;0 0 -10;0 0 0;255 255;0 0;23 60.86
0 6 12;0 0 -10;0 0 0;255 255;0 0;23 60.76
0 6 14;0 0 -10;0 0 0;255 255;0 0;23 60.62
0 6 14;0 0 -10;0 0 0;255 255;0 0;23 60.65
0 6 14;0 0 -10;0 0 0;255 255;0 0;23 60.81
0 6 14;0 0 -10;0 0 0;255 255;0 0;23 60.63
0 6 16;0 0 -10;0 0 0;255 255;0 0;23 60.8
0 6 16;0 0 -10;0 0 0;255 255;0 0;23 60.56
0 6 16;0 0 -10;0 0 0;255 255;0 0;23 60.41
0 6 16;0 0 -10;0 0 0;255 255;0 0;23 60.8
0 6 18;0 0 -10;0 0 0;255 255;0 0;23 60.75
0 6 18;0 0 -10;0 0 0;255 255;0 0;23 60.6
0 6 18;0 0 -10;0 0 0;255 255;0 0;23 60.52
0 6 18;0 0 -10;0 0 0;255 255;0 0;23 60.75
0 6 20;0 0 -10;0 0 0;255 255;0 0;23 61.01
0 6 20;0 0 -10;0 0 0;255 255;0 0;23 60.95
0 6 20;0 0 -10;0 0 0;255 255;0 0;23 60.72
0 6 20;0 0 -10;0 0 0;255 255;0 0;23 60.71
0 6 22;0 0 -10;0 0 0;255 255;0 0;23 60.8
0 6 22;0 0 -10;0 0 0;255 255;0 0;23 60.81
0 6 22;0 0 -10;0 0 0;255 255;0 0;23 61.25
0 6 22;0 0 -10;0 0 0;255 255;0 0;23 61.01
0 6 22;0 0 -10;0 0 0;255 255;0 0;23 61.35
0 6 24;0 0 -10;0 0 0;255 255;0 0;23 61.1
0 6 24;0 0 -10;0 0 0;255 255;0 0;23 61.16
0 6 24;0 0 -10;0 0 0;255 255;0 0;23 61.1
0 6 24;0 0 -10;0 0 0;255 255;0 0;23 60.81
0 6 26;0 0 -10;0 0 0;255 255;0 0;23 60.75
0 6 26;0 0 -10;0 0 0;255 255;0 0;23 60.91
0 6 26;0 0 -10;0 0 0;255 255;0 0;23 60.75
0 6 28;0 0 -10;0 0 0;255 255;0 0;23 60.7
0 6 28;0 0 -10;0 0 0;255 255;0 0;23 60.39
0 6 28;0 0 -10;0 0 0;255 255;0 0;23 60.81
0 6 28;0 0 -10;0 0 0;255 255;0 0;23 60.75
0 6 28;0 0 -10;0 0 0;255 255;0 0;23 60.76
0 6 31;0 0 -10;0 0 0;255 255;0 0;23 60.7
0 6 31;0 0 -10;0 0 0;255 255;0 0;23 60.76
0 6 31;0 0 -10;0 0 0;255 255;0 0;23 60.91
0 6 31;0 0 -10;0 0 0;255 255;0 0;23 60.7
0 6 33;0 0 -10;0 0 0;255 255;0 0;23 60.71
0 6 33;0 0 -10;0 0 0;255 255;0 0;23 60.85
0 6 33;0 0 -10;0 0 0;255 255;0 0;23 61.0
0 6 33;0 0 -10;0 0 0;255 255;0 0;23 61.15
0 6 35;0 0 -10;0 0 0;255 255;0 0;23 60.85
0 6 35;0 0 -10;0 0 0;255 255;0 0;23 60.8
0 6 35;0 0 -10;0 0 0;255 255;0 0;23 60.61
0 6 35;0 0 -10;0 0 0;255 255;0 0;23 61.25
0 6 35;0 0 -10;0 0 0;255 255;0 0;23 60.81
0 6 37;0 0 -10;0 0 0;255 255;0 0;23 61.35
0 6 37;0 0 -10;0 0 0;255 255;0 0;23 61.01
0 6 37;0 0 -10;0 0 0;255 255;0 0;23 61.3
0 6 37;0 0 -10;0 0 0;255 255;0 0;23 61.0
0 6 39;0 0 -10;0 0 0;255 255;0 0;23 60.8
0 6 39;0 0 -10;0 0 0;255 255;0 0;23 61.2
0 6 39;0 0 -10;0 0 0;255 255;0 0;23 60.75
0 6 39;0 0 -10;0 0 0;255 255;0 0;23 60.65
0 6 39;0 0 -10;0 0 0;255 255;0 0;23 61.1
0 6 41;0 0 -10;0 0 0;255 255;0 0;23 60.8
0 6 41;0 0 -10;0 0 0;255 255;0 0;23 60.71
