h min seg;ACC ACCX ACCY ACCZ m/s^2;GGY GGYX GGYY GGYZ rad/s;DIS D6 D7 [mm];Colision D6(Bool) D7(Bool);Temperatura Ambiental CPU_MR [ºC]
0 0 3;0 0 -10;0 0 0;119 255;1 0;23 46.15
0 0 3;0 0 -10;0 0 0;119 255;1 0;23 46.3
0 0 5;0 0 -10;0 0 0;120 255;1 0;23 46.7
0 0 5;0 0 -10;0 0 0;120 255;1 0;23 46.85
0 0 5;0 0 -10;0 0 0;120 255;1 0;23 46.5
0 0 7;0 0 -10;0 0 0;118 255;1 0;23 46.65
0 0 7;0 0 -10;0 0 0;118 255;1 0;23 46.6
0 0 7;0 0 -10;0 0 0;118 255;1 0;23 46.9
0 0 7;0 0 -10;0 0 0;118 255;1 0;23 47.1
0 0 9;0 0 -10;0 0 0;118 255;1 0;23 47.05
0 0 9;0 0 -10;0 0 0;118 255;1 0;23 46.9
0 0 9;0 0 -10;0 0 0;118 255;1 0;23 47.45
0 0 9;0 0 -10;0 0 0;118 255;1 0;23 47.2
0 0 11;0 0 -10;0 0 0;115 255;1 0;23 48.15
0 0 11;0 0 -10;0 0 0;115 255;1 0;23 48.29
0 0 11;0 0 -10;0 0 0;115 255;1 0;23 48.0
0 0 11;0 0 -10;0 0 0;115 255;1 0;23 48.2
0 0 13;0 0 -10;0 0 0;121 255;1 0;23 48.0
0 0 13;0 0 -10;0 0 0;121 255;1 0;23 48.15
0 0 13;0 0 -10;0 0 0;121 255;1 0;23 47.85
0 0 13;0 0 -10;0 0 0;121 255;1 0;23 47.9
0 0 15;0 0 -10;0 0 0;115 255;1 0;23 47.95
0 0 15;0 0 -10;0 0 0;115 255;1 0;23 47.9
0 0 15;0 0 -10;0 0 0;115 255;1 0;23 47.65
0 0 15;0 0 -10;0 0 0;115 255;1 0;23 48.62
0 0 17;0 0 -10;0 0 0;120 255;1 0;23 48.62
0 0 17;0 0 -10;0 0 0;120 255;1 0;23 48.61
0 0 17;0 0 -10;0 0 0;120 255;1 0;23 48.63
0 0 17;0 0 -10;0 0 0;120 255;1 0;23 48.91
0 0 17;0 0 -10;0 0 0;120 255;1 0;23 48.75
0 0 19;0 0 -10;0 0 0;119 255;1 0;23 48.76
0 0 19;0 0 -10;0 0 0;119 255;1 0;23 48.87
0 0 19;0 0 -10;0 0 0;119 255;1 0;23 48.95
0 0 19;0 0 -10;0 0 0;119 255;1 0;23 49.17
0 0 21;0 0 -10;0 0 0;120 255;1 0;23 49.21
0 0 21;0 0 -10;0 0 0;120 255;1 0;23 49.0
0 0 21;0 0 -10;0 0 0;120 255;1 0;23 48.95
0 0 21;0 0 -10;0 0 0;120 255;1 0;23 48.77
0 0 23;0 0 -10;0 0 0;190 255;0 0;23 49.37
0 0 23;0 0 -10;0 0 0;190 255;0 0;23 49.23
0 0 23;0 0 -10;0 0 0;190 255;0 0;23 49.21
0 0 23;0 0 -10;0 0 0;190 255;0 0;23 49.26
0 0 23;0 0 -10;0 0 0;190 255;0 0;23 49.31
0 0 25;0 0 -10;0 0 0;255 255;0 0;23 49.56
0 0 25;0 0 -10;0 0 0;255 255;0 0;23 49.06
0 0 25;0 0 -10;0 0 0;255 255;0 0;23 49.75
0 0 25;0 0 -10;0 0 0;255 255;0 0;23 49.58
0 0 27;0 0 -10;0 0 0;255 255;0 0;23 49.43
0 0 27;0 0 -10;0 0 0;255 255;0 0;23 49.72
0 0 27;0 0 -10;0 0 0;255 255;0 0;23 49.65
0 0 27;0 0 -10;0 0 0;255 255;0 0;23 49.95
0 0 29;0 0 -10;0 0 0;255 255;0 0;23 49.41
0 0 29;0 0 -10;0 0 0;255 255;0 0;23 49.7
0 0 29;0 0 -10;0 0 0;255 255;0 0;23 50.3
0 0 29;0 0 -10;0 0 0;255 255;0 0;23 50.0
0 0 31;0 0 -10;0 0 0;255 255;0 0;23 48.99
0 0 31;0 0 -10;0 0 0;255 255;0 0;23 49.22
0 0 31;0 0 -10;0 0 0;255 255;0 0;23 49.56
0 0 31;0 0 -10;0 0 0;255 255;0 0;23 49.55
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 49.71
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 49.56
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 49.7
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 49.66
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 50.1
0 0 35;0 0 -10;0 0 0;255 255;0 0;23 49.81
0 0 35;0 0 -10;0 0 0;255 255;0 0;23 49.85
0 0 35;0 0 -10;0 0 0;255 255;0 0;23 50.15
0 0 35;0 0 -10;0 0 0;255 255;0 0;23 49.8
0 0 35;0 0 -10;0 0 0;255 255;0 0;23 49.75
0 0 37;0 0 -10;0 0 0;255 255;0 0;23 49.65
0 0 37;0 0 -10;0 0 0;255 255;0 0;23 49.76
0 0 37;0 0 -10;0 0 0;255 255;0 0;23 50.0
0 0 37;0 0 -10;0 0 0;255 255;0 0;23 50.2
0 0 39;0 0 -10;0 0 0;255 255;0 0;23 49.6
0 0 39;0 0 -10;0 0 0;255 255;0 0;23 50.4
0 0 39;0 0 -10;0 0 0;255 255;0 0;23 50.15
0 0 39;0 0 -10;0 0 0;255 255;0 0;23 49.95
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 50.05
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 50.35
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 50.5
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 50.26
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 50.7
0 0 43;0 0 -10;0 0 0;255 255;0 0;23 50.9
0 0 43;0 0 -10;0 0 0;255 255;0 0;23 50.35
0 0 43;0 0 -10;0 0 0;255 255;0 0;23 50.65
0 0 45;0 0 -10;0 0 0;255 255;0 0;23 50.65
0 0 45;0 0 -10;0 0 0;255 255;0 0;23 51.3
0 0 45;0 0 -10;0 0 0;255 255;0 0;23 51.15
0 0 45;0 0 -10;0 0 0;255 255;0 0;23 51.45
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 51.43
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 51.54
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 51.44
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 51.54
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 51.4
0 0 49;0 0 -10;0 0 0;255 255;0 0;23 51.45
0 0 49;0 0 -10;0 0 0;255 255;0 0;23 51.05
0 0 49;0 0 -10;0 0 0;255 255;0 0;23 51.8
0 0 51;0 0 -10;0 0 0;255 255;0 0;23 51.7
0 0 51;0 0 -10;0 0 0;255 255;0 0;23 51.29
0 0 51;0 0 -10;0 0 0;255 255;0 0;23 51.89
0 0 51;0 0 -10;0 0 0;255 255;0 0;23 51.83
0 0 54;0 0 -10;0 0 0;255 255;0 0;23 51.55
0 0 54;0 0 -10;0 0 0;255 255;0 0;23 51.97
0 0 54;0 0 -10;0 0 0;255 255;0 0;23 51.7
0 0 56;0 0 -10;0 0 0;255 255;0 0;22 51.84
0 0 56;0 0 -10;0 0 0;255 255;0 0;22 52.25
0 0 56;0 0 -10;0 0 0;255 255;0 0;22 52.53
0 0 56;0 0 -10;0 0 0;255 255;0 0;22 52.5
0 0 56;0 0 -10;0 0 0;255 255;0 0;22 52.43
0 0 58;0 0 -10;0 0 0;255 255;0 0;23 52.81
0 0 58;0 0 -10;0 0 0;255 255;0 0;23 52.17
0 0 58;0 0 -10;0 0 0;255 255;0 0;23 52.54
0 0 58;0 0 -10;0 0 0;255 255;0 0;23 52.57
0 1 0;0 0 -10;0 0 0;255 255;0 0;23 52.67
0 1 0;0 0 -10;0 0 0;255 255;0 0;23 52.3
0 1 0;0 0 -10;0 0 0;255 255;0 0;23 51.85
0 1 0;0 0 -10;0 0 0;255 255;0 0;23 52.48
0 1 2;0 0 -10;0 0 0;255 255;0 0;23 52.07
0 1 2;0 0 -10;0 0 0;255 255;0 0;23 52.16
0 1 2;0 0 -10;0 0 0;255 255;0 0;23 52.14
0 1 2;0 0 -10;0 0 0;255 255;0 0;23 52.3
0 1 4;0 0 -10;0 0 0;255 255;0 0;23 52.25
0 1 4;0 0 -10;0 0 0;255 255;0 0;23 52.19
0 1 4;0 0 -10;0 0 0;255 255;0 0;23 52.58
0 1 4;0 0 -10;0 0 0;255 255;0 0;23 52.97
0 1 4;0 0 -10;0 0 0;255 255;0 0;23 52.75
0 1 6;0 0 -10;0 0 0;255 255;0 0;23 53.1
0 1 6;0 0 -10;0 0 0;255 255;0 0;23 53.2
0 1 8;0 0 -10;0 0 0;255 255;0 0;23 52.82
0 1 8;0 0 -10;0 0 0;255 255;0 0;23 53.45
0 1 8;0 0 -10;0 0 0;255 255;0 0;23 52.86
0 1 8;0 0 -10;0 0 0;255 255;0 0;23 52.8
0 1 8;0 0 -10;0 0 0;255 255;0 0;23 52.76
0 1 10;0 0 -10;0 0 0;255 255;0 0;23 52.66
0 1 10;0 0 -10;0 0 0;255 255;0 0;23 52.91
0 1 10;0 0 -10;0 0 0;255 255;0 0;23 52.67
0 1 12;0 0 -10;0 0 0;255 255;0 0;23 52.76
0 1 12;0 0 -10;0 0 0;255 255;0 0;23 52.82
0 1 12;0 0 -10;0 0 0;255 255;0 0;23 52.66
0 1 12;0 0 -10;0 0 0;255 255;0 0;23 52.91
0 1 14;0 0 -10;0 0 0;255 255;0 0;23 52.96
0 1 14;0 0 -10;0 0 0;255 255;0 0;23 53.35
0 1 14;0 0 -10;0 0 0;255 255;0 0;23 53.25
0 1 14;0 0 -10;0 0 0;255 255;0 0;23 53.55
0 1 14;0 0 -10;0 0 0;255 255;0 0;23 53.3
0 1 16;0 0 -10;0 0 0;255 255;0 0;23 53.15
0 1 16;0 0 -10;0 0 0;255 255;0 0;23 53.75
0 1 16;0 0 -10;0 0 0;255 255;0 0;23 53.3
0 1 16;0 0 -10;0 0 0;255 255;0 0;23 54.05
0 1 16;0 0 -10;0 0 0;255 255;0 0;23 53.45
0 1 18;0 0 -10;0 0 0;255 37;0 1;23 53.1
0 1 18;0 0 -10;0 0 0;255 37;0 1;23 53.3
0 1 18;0 0 -10;0 0 0;255 37;0 1;23 53.4
0 1 18;0 0 -10;0 0 0;255 37;0 1;23 53.45
0 1 20;0 0 -10;0 0 0;255 34;0 1;23 53.5
0 1 20;0 0 -10;0 0 0;255 34;0 1;23 53.8
0 1 20;0 0 -10;0 0 0;255 34;0 1;23 53.5
0 1 20;0 0 -10;0 0 0;255 34;0 1;23 53.7
0 1 22;0 0 -10;0 0 0;255 33;0 1;23 53.45
0 1 22;0 0 -10;0 0 0;255 33;0 1;23 53.6
0 1 22;0 0 -10;0 0 0;255 33;0 1;23 53.7
0 1 22;0 0 -10;0 0 0;255 33;0 1;23 53.95
0 1 24;0 0 -10;0 0 0;255 32;0 1;23 53.75
0 1 24;0 0 -10;0 0 0;255 32;0 1;23 53.65
0 1 24;0 0 -10;0 0 0;255 32;0 1;23 53.6
0 1 26;0 0 -10;0 0 0;255 51;0 1;23 53.85
0 1 26;0 0 -10;0 0 0;255 51;0 1;23 54.05
0 1 28;0 0 -10;0 0 0;255 61;0 1;23 54.15
0 1 28;0 0 -10;0 0 0;255 61;0 1;23 54.55
0 1 28;0 0 -10;0 0 0;255 61;0 1;23 54.1
0 1 28;0 0 -10;0 0 0;255 61;0 1;23 54.15
0 1 30;0 0 -10;0 0 0;255 66;0 1;23 54.0
0 1 30;0 0 -10;0 0 0;255 66;0 1;23 54.2
0 1 30;0 0 -10;0 0 0;255 66;0 1;23 53.85
0 1 30;0 0 -10;0 0 0;255 66;0 1;23 54.55
0 1 30;0 0 -10;0 0 0;255 66;0 1;23 54.1
0 1 32;0 0 -10;0 0 0;255 65;0 1;23 54.3
0 1 32;0 0 -10;0 0 0;255 65;0 1;23 54.45
0 1 32;0 0 -10;0 0 0;255 65;0 1;23 54.2
0 1 34;0 0 -10;0 0 0;255 58;0 1;23 54.1
0 1 34;0 0 -10;0 0 0;255 58;0 1;23 54.2
0 1 34;0 0 -10;0 0 0;255 58;0 1;23 54.15
0 1 36;0 0 -10;0 0 0;255 255;0 0;23 54.4
0 1 36;0 0 -10;0 0 0;255 255;0 0;23 54.5
0 1 36;0 0 -10;0 0 0;255 255;0 0;23 54.25
0 1 36;0 0 -10;0 0 0;255 255;0 0;23 54.55
0 1 38;0 0 -10;0 0 0;255 255;0 0;23 54.55
0 1 38;0 0 -10;0 0 0;255 255;0 0;23 54.75
0 1 38;0 0 -10;0 0 0;255 255;0 0;23 54.7
0 1 38;0 0 -10;0 0 0;255 255;0 0;23 54.45
0 1 40;0 0 -10;0 0 0;255 255;0 0;23 54.65
0 1 40;0 0 -10;0 0 0;255 255;0 0;23 54.7
0 1 42;0 0 -10;0 0 0;255 255;0 0;23 54.85
0 1 42;0 0 -10;0 0 0;255 255;0 0;23 54.65
0 1 42;0 0 -10;0 0 0;255 255;0 0;23 54.9
0 1 42;0 0 -10;0 0 0;255 255;0 0;23 54.55
0 1 44;0 0 -10;0 0 0;255 255;0 0;23 54.85
0 1 44;0 0 -10;0 0 0;255 255;0 0;23 55.05
0 1 44;0 0 -10;0 0 0;255 255;0 0;23 54.95
0 1 44;0 0 -10;0 0 0;255 255;0 0;23 54.8
0 1 46;0 0 -10;0 0 0;255 255;0 0;23 54.75
0 1 46;0 0 -10;0 0 0;255 255;0 0;23 55.09
0 1 46;0 0 -10;0 0 0;255 255;0 0;23 55.05
0 1 46;0 0 -10;0 0 0;255 255;0 0;23 54.9
0 1 48;0 0 -10;0 0 0;255 255;0 0;23 54.7
0 1 48;0 0 -10;0 0 0;255 255;0 0;23 55.15
0 1 48;0 0 -10;0 0 0;255 255;0 0;23 55.0
0 1 50;0 0 -10;0 0 0;255 255;0 0;23 54.95
0 1 50;0 0 -10;0 0 0;255 255;0 0;23 55.4
0 1 50;0 0 -10;0 0 0;255 255;0 0;23 55.35
0 1 52;0 0 -10;0 0 0;255 255;0 0;23 55.1
0 1 52;0 0 -10;0 0 0;255 255;0 0;23 55.3
0 1 52;0 0 -10;0 0 0;255 255;0 0;23 55.4
0 1 52;0 0 -10;0 0 0;255 255;0 0;23 55.3
0 1 54;0 0 -10;0 0 0;255 255;0 0;23 55.25
0 1 54;0 0 -10;0 0 0;255 255;0 0;23 55.39
0 1 54;0 0 -10;0 0 0;255 255;0 0;23 55.5
0 1 56;0 0 -10;0 0 0;255 255;0 0;23 55.15
0 1 56;0 0 -10;0 0 0;255 255;0 0;23 55.35
0 1 56;0 0 -10;0 0 0;255 255;0 0;23 55.64
0 1 56;0 0 -10;0 0 0;255 255;0 0;23 55.05
0 1 58;0 0 -10;0 0 0;255 255;0 0;23 55.2
0 1 58;0 0 -10;0 0 0;255 255;0 0;23 55.53
0 1 58;0 0 -10;0 0 0;255 255;0 0;23 56.15
0 2 1;0 0 -10;0 0 0;255 255;0 0;23 56.11
0 2 1;0 0 -10;0 0 0;255 255;0 0;23 56.01
0 2 1;0 0 -10;0 0 0;255 255;0 0;23 55.73
0 2 1;0 0 -10;0 0 0;255 255;0 0;23 56.02
0 2 3;0 0 -10;0 0 0;255 255;0 0;23 55.4
0 2 3;0 0 -10;0 0 0;255 255;0 0;23 55.5
0 2 3;0 0 -10;0 0 0;255 255;0 0;23 55.64
0 2 5;0 0 -10;0 0 0;255 255;0 0;23 56.07
0 2 5;0 0 -10;0 0 0;255 255;0 0;23 55.82
0 2 5;0 0 -10;0 0 0;255 255;0 0;23 55.99
0 2 5;0 0 -10;0 0 0;255 255;0 0;23 56.06
0 2 5;0 0 -10;0 0 0;255 255;0 0;23 56.19
0 2 7;0 0 -10;0 0 0;255 255;0 0;23 56.26
0 2 7;0 0 -10;0 0 0;255 255;0 0;23 55.98
0 2 7;0 0 -10;0 0 0;255 255;0 0;23 56.11
0 2 7;0 0 -10;0 0 0;255 255;0 0;23 55.73
0 2 9;0 0 -10;0 0 0;255 255;0 0;23 55.83
0 2 9;0 0 -10;0 0 0;255 255;0 0;23 56.01
0 2 9;0 0 -10;0 0 0;255 255;0 0;23 56.19
0 2 9;0 0 -10;0 0 0;255 255;0 0;23 56.38
0 2 11;0 0 -10;0 0 0;255 255;0 0;23 56.16
0 2 11;0 0 -10;0 0 0;255 255;0 0;23 56.43
0 2 11;0 0 -10;0 0 0;255 255;0 0;23 56.33
0 2 11;0 0 -10;0 0 0;255 255;0 0;23 56.07
0 2 11;0 0 -10;0 0 0;255 255;0 0;23 56.06
0 2 13;0 0 -10;0 0 0;255 255;0 0;23 56.49
0 2 13;0 0 -10;0 0 0;255 255;0 0;23 56.33
0 2 13;0 0 -10;0 0 0;255 255;0 0;23 56.47
0 2 13;0 0 -10;0 0 0;255 255;0 0;23 56.16
0 2 15;0 0 -10;0 0 0;255 255;0 0;23 56.6
0 2 15;0 0 -10;0 0 0;255 255;0 0;23 56.73
0 2 15;0 0 -10;0 0 0;255 255;0 0;23 56.53
0 2 17;0 0 -10;0 0 0;255 255;0 0;23 56.25
0 2 17;0 0 -10;0 0 0;255 255;0 0;23 56.62
0 2 17;0 0 -10;0 0 0;255 255;0 0;23 56.48
0 2 17;0 0 -10;0 0 0;255 255;0 0;23 56.62
0 2 19;0 0 -10;0 0 0;255 255;0 0;23 56.61
0 2 19;0 0 -10;0 0 0;255 255;0 0;23 56.68
0 2 19;0 0 -10;0 0 0;255 255;0 0;23 57.05
0 2 19;0 0 -10;0 0 0;255 255;0 0;23 56.9
0 2 21;0 0 -10;0 0 0;255 255;0 0;23 56.69
0 2 21;0 0 -10;0 0 0;255 255;0 0;23 56.8
0 2 21;0 0 -10;0 0 0;255 255;0 0;23 57.01
0 2 21;0 0 -10;0 0 0;255 255;0 0;23 57.65
0 2 23;0 0 -10;0 0 0;255 255;0 0;23 56.33
0 2 23;0 0 -10;0 0 0;255 255;0 0;23 56.43
0 2 23;0 0 -10;0 0 0;255 255;0 0;23 56.91
0 2 23;0 0 -10;0 0 0;255 255;0 0;23 56.48
0 2 23;0 0 -10;0 0 0;255 255;0 0;23 56.86
0 2 25;0 0 -10;0 0 0;255 255;0 0;23 56.76
0 2 25;0 0 -10;0 0 0;255 255;0 0;23 56.83
0 2 25;0 0 -10;0 0 0;255 255;0 0;23 57.2
0 2 25;0 0 -10;0 0 0;255 255;0 0;23 56.61
0 2 25;0 0 -10;0 0 0;255 255;0 0;23 56.56
0 2 27;0 0 -10;0 0 0;255 255;0 0;23 56.56
0 2 27;0 0 -10;0 0 0;255 255;0 0;23 56.81
0 2 27;0 0 -10;0 0 0;255 255;0 0;23 56.97
0 2 27;0 0 -10;0 0 0;255 255;0 0;23 56.96
0 2 29;0 0 -10;0 0 0;255 255;0 0;23 56.56
0 2 29;0 0 -10;0 0 0;255 255;0 0;23 57.06
0 2 29;0 0 -10;0 0 0;255 255;0 0;23 56.82
0 2 29;0 0 -10;0 0 0;255 255;0 0;23 56.97
0 2 31;0 0 -10;0 0 0;255 255;0 0;23 56.96
0 2 31;0 0 -10;0 0 0;255 255;0 0;23 57.05
0 2 31;0 0 -10;0 0 0;255 255;0 0;23 56.85
0 2 31;0 0 -10;0 0 0;255 255;0 0;23 56.67
0 2 33;0 0 -10;0 0 0;255 255;0 0;23 56.88
0 2 33;0 0 -10;0 0 0;255 255;0 0;23 57.3
0 2 33;0 0 -10;0 0 0;255 255;0 0;23 57.01
0 2 33;0 0 -10;0 0 0;255 255;0 0;23 57.0
0 2 35;0 0 -10;0 0 0;255 255;0 0;23 57.3
0 2 35;0 0 -10;0 0 0;255 255;0 0;23 57.6
0 2 35;0 0 -10;0 0 0;255 255;0 0;23 58.1
0 2 35;0 0 -10;0 0 0;255 255;0 0;23 57.7
0 2 37;0 0 -10;0 0 0;255 255;0 0;23 57.75
0 2 37;0 0 -10;0 0 0;255 255;0 0;23 57.65
0 2 37;0 0 -10;0 0 0;255 255;0 0;23 58.0
0 2 39;0 0 -10;0 0 0;255 255;0 0;23 57.7
0 2 39;0 0 -10;0 0 0;255 255;0 0;23 57.9
0 2 39;0 0 -10;0 0 0;255 255;0 0;23 58.0
0 2 41;0 0 -10;0 0 0;255 255;0 0;23 58.1
0 2 41;0 0 -10;0 0 0;255 255;0 0;23 57.95
0 2 41;0 0 -10;0 0 0;255 255;0 0;23 58.1
0 2 41;0 0 -10;0 0 0;255 255;0 0;23 58.25
0 2 43;0 0 -10;0 0 0;255 255;0 0;23 57.95
0 2 43;0 0 -10;0 0 0;255 255;0 0;23 57.4
0 2 43;0 0 -10;0 0 0;255 255;0 0;23 57.5
0 2 43;0 0 -10;0 0 0;255 255;0 0;23 57.9
0 2 45;0 0 -10;0 0 0;255 255;0 0;23 57.46
0 2 45;0 0 -10;0 0 0;255 255;0 0;23 57.95
0 2 45;0 0 -10;0 0 0;255 255;0 0;23 57.65
0 2 47;0 0 -10;0 0 0;255 255;0 0;23 57.85
0 2 47;0 0 -10;0 0 0;255 255;0 0;23 57.6
0 2 47;0 0 -10;0 0 0;255 255;0 0;23 57.8
0 2 47;0 0 -10;0 0 0;255 255;0 0;23 57.75
0 2 49;0 0 -10;0 0 0;255 255;0 0;23 57.5
0 2 49;0 0 -10;0 0 0;255 255;0 0;23 57.6
0 2 49;0 0 -10;0 0 0;255 255;0 0;23 57.75
0 2 49;0 0 -10;0 0 0;255 255;0 0;23 57.85
0 2 51;0 0 -10;0 0 0;255 255;0 0;23 58.2
0 2 51;0 0 -10;0 0 0;255 255;0 0;23 58.0
0 2 51;0 0 -10;0 0 0;255 255;0 0;23 58.1
0 2 51;0 0 -10;0 0 0;255 255;0 0;23 57.7
0 2 53;0 0 -10;0 0 0;255 255;0 0;23 57.75
0 2 53;0 0 -10;0 0 0;255 255;0 0;23 58.0
0 2 53;0 0 -10;0 0 0;255 255;0 0;23 57.9
0 2 53;0 0 -10;0 0 0;255 255;0 0;23 58.1
0 2 55;0 0 -10;0 0 0;255 255;0 0;23 57.95
0 2 55;0 0 -10;0 0 0;255 255;0 0;23 57.7
0 2 55;0 0 -10;0 0 0;255 255;0 0;23 58.0
0 2 57;0 0 -10;0 0 0;255 255;0 0;23 58.2
0 2 57;0 0 -10;0 0 0;255 255;0 0;23 58.3
0 2 57;0 0 -10;0 0 0;255 255;0 0;23 58.35
0 2 59;0 0 -10;0 0 0;255 255;0 0;23 58.3
0 2 59;0 0 -10;0 0 0;255 255;0 0;23 58.1
0 2 59;0 0 -10;0 0 0;255 255;0 0;23 58.4
0 3 1;0 0 -10;0 0 0;255 255;0 0;23 58.2
0 3 1;0 0 -10;0 0 0;255 255;0 0;23 58.5
0 3 1;0 0 -10;0 0 0;255 255;0 0;23 58.55
0 3 1;0 0 -10;0 0 0;255 255;0 0;23 58.35
0 3 3;0 0 -10;0 0 0;255 255;0 0;23 58.45
0 3 3;0 0 -10;0 0 0;255 255;0 0;23 58.9
0 3 3;0 0 -10;0 0 0;255 255;0 0;23 58.2
0 3 5;0 0 -10;0 0 0;255 255;0 0;23 58.35
0 3 5;0 0 -10;0 0 0;255 255;0 0;23 58.4
0 3 5;0 0 -10;0 0 0;255 255;0 0;23 58.6
0 3 5;0 0 -10;0 0 0;255 255;0 0;23 58.35
0 3 8;0 0 -10;0 0 0;255 255;0 0;23 58.15
0 3 8;0 0 -10;0 0 0;255 255;0 0;23 58.65
0 3 8;0 0 -10;0 0 0;255 255;0 0;23 58.5
0 3 8;0 0 -10;0 0 0;255 255;0 0;23 58.15
0 3 10;0 0 -10;0 0 0;255 255;0 0;23 58.5
0 3 10;0 0 -10;0 0 0;255 255;0 0;23 58.25
0 3 10;0 0 -10;0 0 0;255 255;0 0;23 58.45
0 3 10;0 0 -10;0 0 0;255 255;0 0;23 58.5
0 3 12;0 0 -10;0 0 0;255 255;0 0;23 58.05
0 3 12;0 0 -10;0 0 0;255 255;0 0;23 58.45
0 3 12;0 0 -10;0 0 0;255 255;0 0;23 58.65
0 3 12;0 0 -10;0 0 0;255 255;0 0;23 58.5
0 3 14;0 0 -10;0 0 0;255 255;0 0;23 58.15
0 3 14;0 0 -10;0 0 0;255 255;0 0;23 58.25
0 3 14;0 0 -10;0 0 0;255 255;0 0;23 58.45
0 3 14;0 0 -10;0 0 0;255 255;0 0;23 58.6
0 3 16;0 0 -10;0 0 0;255 255;0 0;23 59.1
0 3 16;0 0 -10;0 0 0;255 255;0 0;23 58.45
0 3 16;0 0 -10;0 0 0;255 255;0 0;23 58.8
0 3 16;0 0 -10;0 0 0;255 255;0 0;23 58.35
0 3 16;0 0 -10;0 0 0;255 255;0 0;23 59.1
0 3 18;0 0 -10;0 0 0;255 255;0 0;23 58.4
0 3 18;0 0 -10;0 0 0;255 255;0 0;23 58.2
0 3 18;0 0 -10;0 0 0;255 255;0 0;23 58.65
0 3 18;0 0 -10;0 0 0;255 255;0 0;23 58.75
0 3 20;0 0 -10;0 0 0;255 255;0 0;23 58.9
0 3 20;0 0 -10;0 0 0;255 255;0 0;23 58.5
0 3 20;0 0 -10;0 0 0;255 255;0 0;23 58.15
0 3 20;0 0 -10;0 0 0;255 255;0 0;23 59.0
0 3 22;0 0 -10;0 0 0;255 255;0 0;23 59.25
0 3 22;0 0 -10;0 0 0;255 255;0 0;23 59.3
0 3 22;0 0 -10;0 0 0;255 255;0 0;23 59.39
0 3 22;0 0 -10;0 0 0;255 255;0 0;23 59.5
0 3 24;0 0 -10;0 0 0;255 255;0 0;23 58.95
0 3 24;0 0 -10;0 0 0;255 255;0 0;23 59.09
0 3 24;0 0 -10;0 0 0;255 255;0 0;23 59.45
0 3 24;0 0 -10;0 0 0;255 255;0 0;23 59.4
0 3 26;0 0 -10;0 0 0;255 255;0 0;23 59.13
0 3 26;0 0 -10;0 0 0;255 255;0 0;23 59.3
0 3 26;0 0 -10;0 0 0;255 255;0 0;23 59.65
0 3 28;0 0 -10;0 0 0;255 255;0 0;23 59.55
0 3 28;0 0 -10;0 0 0;255 255;0 0;23 59.59
